LGA19_source,LGA19_target,date,time,region,n_trips
10500,14500,1/1/21,1600,NSW,8.268765992
10500,14500,2/1/21,0,NSW,12.82802971
10500,14500,2/1/21,800,NSW,8.5591123
10500,14500,2/1/21,1600,NSW,5.048380727
10500,14500,3/1/21,0,NSW,10.75753643
10500,14500,3/1/21,800,NSW,8.242698107
10500,14500,3/1/21,1600,NSW,15.87372811
10500,14700,1/1/21,0,NSW,13.77371997
10500,14700,1/1/21,800,NSW,12.17051752
10500,14700,1/1/21,1600,NSW,11.33508948
10500,14700,2/1/21,0,NSW,16.60711313
10500,14700,2/1/21,800,NSW,15.41585226
10500,14700,2/1/21,1600,NSW,10.43556921
10500,14700,3/1/21,0,NSW,14.60652698
10500,14700,3/1/21,800,NSW,13.09756867
10500,14700,3/1/21,1600,NSW,20.51247922
10500,14900,1/1/21,0,NSW,29.02331656
10500,14900,1/1/21,800,NSW,45.83167699
10500,14900,1/1/21,1600,NSW,15.33449865
10500,14900,2/1/21,0,NSW,27.07981503
10500,14900,2/1/21,800,NSW,49.38353672
10500,14900,2/1/21,1600,NSW,14.22318417
10500,14900,3/1/21,0,NSW,24.11780116
10500,14900,3/1/21,800,NSW,39.72655214
10500,14900,3/1/21,1600,NSW,29.19006432
10500,15350,1/1/21,0,NSW,13.8440336
10500,15350,1/1/21,800,NSW,10.34489941
10500,15350,1/1/21,1600,NSW,11.75218848
10500,15350,2/1/21,0,NSW,19.03101776
10500,15350,2/1/21,800,NSW,13.91809944
10500,15350,2/1/21,1600,NSW,9.970843608
10500,15350,3/1/21,0,NSW,16.43230945
10500,15350,3/1/21,800,NSW,10.90783111
10500,15350,3/1/21,1600,NSW,24.92823302
10500,15950,1/1/21,0,NSW,33.04012444
10500,15950,1/1/21,800,NSW,24.68910244
10500,15950,1/1/21,1600,NSW,28.04773386
10500,15950,2/1/21,0,NSW,45.41936355
10500,15950,2/1/21,800,NSW,33.21688973
10500,15950,2/1/21,1600,NSW,23.79638212
10500,15950,3/1/21,0,NSW,39.21729497
10500,15950,3/1/21,800,NSW,26.03259336
10500,15950,3/1/21,1600,NSW,59.49363782
10500,15990,1/1/21,0,NSW,16.6488328
10500,15990,1/1/21,800,NSW,9.610818658
10500,15990,1/1/21,1600,NSW,10.72931332
10500,15990,2/1/21,0,NSW,23.41987082
10500,15990,2/1/21,800,NSW,13.17257849
10500,15990,2/1/21,1600,NSW,10.50019424
10500,15990,3/1/21,0,NSW,22.94011491
10500,15990,3/1/21,800,NSW,13.42448961
10500,15990,3/1/21,1600,NSW,26.6102434
10500,16260,1/1/21,0,NSW,43.66158936
10500,16260,1/1/21,800,NSW,61.00688938
10500,16260,1/1/21,1600,NSW,39.10528193
10500,16260,2/1/21,0,NSW,50.89003617
10500,16260,2/1/21,800,NSW,69.35230332
10500,16260,2/1/21,1600,NSW,34.99214553
10500,16260,3/1/21,0,NSW,41.04143966
10500,16260,3/1/21,800,NSW,56.9003336
10500,16260,3/1/21,1600,NSW,64.64831105
10500,16350,1/1/21,0,NSW,4.469863591
10500,16350,1/1/21,800,NSW,4.872663062
10500,16350,1/1/21,1600,NSW,1.640976618
10500,16350,2/1/21,0,NSW,4.125530495
10500,16350,2/1/21,800,NSW,5.377290823
10500,16350,3/1/21,0,NSW,4.762224017
10500,16350,3/1/21,800,NSW,6.421547593
10500,16350,3/1/21,1600,NSW,7.013176642
10500,16550,1/1/21,0,NSW,1000.028918
10500,16550,1/1/21,800,NSW,1067.393835
10500,16550,1/1/21,1600,NSW,992.4548512
10500,16550,2/1/21,0,NSW,1027.340894
10500,16550,2/1/21,800,NSW,1086.049894
10500,16550,2/1/21,1600,NSW,1017.27477
10500,16550,3/1/21,0,NSW,1056.150328
10500,16550,3/1/21,800,NSW,1111.921057
10500,16550,3/1/21,1600,NSW,1066.969042
10500,16700,1/1/21,0,NSW,26.64461707
10500,16700,1/1/21,800,NSW,27.53687771
10500,16700,1/1/21,1600,NSW,22.50159716
10500,16700,2/1/21,0,NSW,29.08535089
10500,16700,2/1/21,800,NSW,32.93599737
10500,16700,2/1/21,1600,NSW,20.28616357
10500,16700,3/1/21,0,NSW,25.4191288
10500,16700,3/1/21,800,NSW,29.5374703
10500,16700,3/1/21,1600,NSW,34.6166059
10500,17100,1/1/21,0,NSW,65.14900438
10500,17100,1/1/21,800,NSW,75.21715818
10500,17100,1/1/21,1600,NSW,66.15598326
10500,17100,2/1/21,0,NSW,64.12512893
10500,17100,2/1/21,800,NSW,77.21382994
10500,17100,2/1/21,1600,NSW,65.39055744
10500,17100,3/1/21,0,NSW,65.1005848
10500,17100,3/1/21,800,NSW,76.89138931
10500,17100,3/1/21,1600,NSW,70.36201269
10500,17150,1/1/21,0,NSW,444.5378509
10500,17150,1/1/21,800,NSW,458.0463057
10500,17150,1/1/21,1600,NSW,432.3236972
10500,17150,2/1/21,0,NSW,482.2307911
10500,17150,2/1/21,800,NSW,491.8537345
10500,17150,2/1/21,1600,NSW,426.5644814
10500,17150,3/1/21,0,NSW,480.1794263
